ÀàÐÍ,¶þÑõ»¯¹è(SiO2),Ñõ»¯ÄÆ(Na2O),Ñõ»¯¼Ø(K2O),Ñõ»¯¸Æ(CaO),Ñõ»¯Ã¾(MgO),Ñõ»¯ÂÁ(Al2O3),Ñõ»¯Ìú(Fe2O3),Ñõ»¯Í­(CuO),Ñõ»¯Ç¦(PbO),Ñõ»¯±µ(BaO),ÎåÑõ»¯¶þÁ×(P2O5),Ñõ»¯ïÈ(SrO),Ñõ»¯Îý(SnO2),¶þÑõ»¯Áò(SO2),sum
¸ß¼Ø,69.33,0,9.99,6.32,0.87,3.93,1.74,3.87,0,0,1.17,0,0,0.39,97.22
Ç¦±µ,36.28,0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0,3.57,0.19,0,0,99.89
¸ß¼Ø,87.05,0,5.19,2.01,0,4.06,0,0.78,0.25,0,0.66,0,0,0,100
¸ß¼Ø,61.71,0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0,0,98.88
¸ß¼Ø,65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,0.79,0,0,0.36,95.7
¸ß¼Ø,61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,0.94,0.06,0,0.47,96.04
¸ß¼Ø,67.65,0,7.37,0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0,0,98.92
¸ß¼Ø,59.81,0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0,0,98.84
¸ß¼Ø,92.63,0,0,1.07,0,1.98,0.17,3.24,0,0,0.61,0,0,0,99.7
Ç¦±µ,20.14,0,0,1.48,0,1.34,0,10.41,28.68,31.23,3.59,0.37,0,2.58,97.24
¸ß¼Ø,95.02,0,0.59,0.62,0,1.32,0.32,1.55,0,0,0.35,0,0,0,99.77
¸ß¼Ø,96.77,0,0.92,0.21,0,0.81,0.26,0.84,0,0,0,0,0,0,99.81
Ç¦±µ,33.59,0,0.21,3.51,0.71,2.69,0,4.93,25.39,14.61,9.38,0.37,0,0,95.39
¸ß¼Ø,94.29,0,1.01,0.72,0,1.46,0.29,1.65,0,0,0.15,0,0,0,99.57
¸ß¼Ø,59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0,98.14
¸ß¼Ø,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0,0.16,0,0,0,99
¸ß¼Ø,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,0,0.04,0,0,98.41
¸ß¼Ø,79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,0.07,2.36,0,97.25
¸ß¼Ø,29.64,0,0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0,0,98.76
¸ß¼Ø,37.36,0,0.71,0,0,5.45,1.51,4.78,9.3,23.55,5.75,0,0,0,88.41
Ç¦±µ,76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0,98.52
Ç¦±µ,92.35,0,0.74,1.66,0.64,3.5,0.35,0.55,0,0,0.21,0,0,0,100
¸ß¼Ø,53.79,7.92,0,0.5,0.71,1.42,0,2.99,16.98,11.86,0,0.33,0,0,96.5
¸ß¼Ø,31.94,0,0,0.47,0,1.59,0,8.46,29.14,26.23,0.14,0.91,0,0,98.88
Ç¦±µ,50.61,2.31,0,0.63,0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0,0,97.06
Ç¦±µ,19.79,0,0,1.44,0,0.7,0,10.57,29.53,32.25,3.13,0.45,0,1.96,97.86
Ç¦±µ,92.72,0,0,0.94,0.54,2.51,0.2,1.54,0,0,0.36,0,0,0,98.81
Ç¦±µ,68.08,0,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0,98.69
¸ß¼Ø,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0,0,99.88
Ç¦±µ,34.34,0,1.41,4.49,0.98,4.35,2.12,0,39.22,10.29,0,0.35,0.4,0,97.95
Ç¦±µ,36.93,0,0,4.24,0.51,3.86,2.74,0,37.74,10.35,1.41,0.48,0.44,0,98.7
Ç¦±µ,65.91,0,0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0,0,98.43
Ç¦±µ,69.71,0,0.21,0.46,0,2.36,1,0.11,19.76,4.88,0.17,0,0,0,98.66
Ç¦±µ,75.51,0,0.15,0.64,1,2.35,0,0.47,16.16,3.55,0.13,0,0,0,99.96
Ç¦±µ,35.78,0,0.25,0.78,0,1.62,0.47,1.51,46.55,10,0.34,0.22,0,0,97.52
Ç¦±µ,65.91,0,0,0.38,0,1.44,0.17,0.16,22.05,5.68,0.42,0,0,0,96.21
Ç¦±µ,39.57,2.22,0.14,0.37,0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0,0,97.63
Ç¦±µ,60.12,0,0.23,0.89,0,2.72,0,3.01,17.24,10.34,1.46,0.31,0,3.66,96.32
Ç¦±µ,32.93,1.38,0,0.68,0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0,0,98.57
Ç¦±µ,26.25,0,0,1.11,0,0.5,0,0.88,61.03,7.22,1.16,0.61,0,0,98.76
Ç¦±µ,16.71,0,0,1.87,0,0.45,0.19,0,70.21,6.69,1.77,0.68,0,0,98.57
Ç¦±µ,18.46,0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0,0,93.71
Ç¦±µ,51.26,5.74,0.15,0.79,1.09,3.53,0,2.67,21.88,10.47,0.08,0.35,0,0,98.01
Ç¦±µ,51.33,5.68,0.35,0,1.16,5.66,0,2.72,20.12,10.88,0,0,0,0,97.9
Ç¦±µ,12.41,0,0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0,0.64,0,0,94.68
Ç¦±µ,21.7,0,0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0,0,96.67
Ç¦±µ,60.74,3.06,0.2,2.14,0,12.69,0.77,0.43,13.61,5.22,0,0.26,0,0,99.12
Ç¦±µ,61.28,2.66,0.11,0.84,0.74,5,0,0.53,15.99,10.96,0,0.23,0,0,98.34
Ç¦±µ,55.21,0,0.25,0,1.67,4.79,0,0.77,25.25,10.06,0.2,0.43,0,0,98.63
Ç¦±µ,51.54,4.66,0.29,0.87,0.61,3.06,0,0.65,25.4,9.23,0.1,0.85,0,0,97.26
Ç¦±µ,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0,15.71,7.31,1.1,0.25,1.31,0,99.17
Ç¦±µ,28.79,0,0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0,0,95.5
Ç¦±µ,54.61,0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0,0,98.24
Ç¦±µ,17.98,0,0,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,0,0,90.17
