文物编号,纹饰,类型,颜色,表面风化
1,C,高钾,蓝绿,无风化
2,A,铅钡,浅蓝,风化
3,A,高钾,蓝绿,无风化
4,A,高钾,蓝绿,无风化
5,A,高钾,蓝绿,无风化
6,A,高钾,蓝绿,无风化
7,B,高钾,蓝绿,风化
8,C,铅钡,紫,风化
9,B,高钾,蓝绿,风化
10,B,高钾,蓝绿,风化
11,C,铅钡,浅蓝,风化
12,B,高钾,蓝绿,风化
13,C,高钾,浅蓝,无风化
14,C,高钾,深绿,无风化
15,C,高钾,浅蓝,无风化
16,C,高钾,浅蓝,无风化
17,C,高钾,浅蓝,无风化
18,A,高钾,深蓝,无风化
20,A,铅钡,浅蓝,无风化
21,A,高钾,蓝绿,无风化
22,B,高钾,蓝绿,风化
23,A,铅钡,蓝绿,风化
24,C,铅钡,紫,无风化
25,C,铅钡,浅蓝,风化
26,C,铅钡,紫,风化
27,B,高钾,蓝绿,风化
28,A,铅钡,浅蓝,风化
29,A,铅钡,浅蓝,风化
30,A,铅钡,深蓝,无风化
31,C,铅钡,紫,无风化
32,C,铅钡,浅绿,无风化
33,C,铅钡,深绿,无风化
34,C,铅钡,深绿,风化
35,C,铅钡,浅绿,无风化
36,C,铅钡,深绿,风化
37,C,铅钡,深绿,无风化
38,C,铅钡,深绿,风化
39,C,铅钡,深绿,风化
41,C,铅钡,浅绿,风化
42,A,铅钡,浅蓝,风化
43,C,铅钡,浅蓝,风化
44,A,铅钡,浅蓝,风化
45,A,铅钡,浅蓝,无风化
46,A,铅钡,浅蓝,无风化
47,A,铅钡,浅蓝,无风化
49,A,铅钡,黑,风化
50,A,铅钡,黑,风化
51,C,铅钡,浅蓝,风化
52,C,铅钡,浅蓝,风化
53,A,铅钡,浅蓝,风化
54,C,铅钡,浅蓝,风化
55,C,铅钡,绿,无风化
56,C,铅钡,蓝绿,风化
57,C,铅钡,蓝绿,风化
