纹饰_A,纹饰_B,纹饰_C,类型_铅钡,类型_高钾,颜色_浅绿,颜色_浅蓝,颜色_深绿,颜色_深蓝,颜色_紫,颜色_绿,颜色_蓝绿,颜色_黑,表面风化_无风化,表面风化_风化,氧化钠(Na2O)
0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2.86
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3.38
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2.1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,7.92
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2.31
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.92
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0.0
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.0
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.22
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.38
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5.74
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5.68
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3.06
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2.66
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4.66
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.8
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1.22
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3.04
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2.71
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.0
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.0
